,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Féarless,Rengar,True,Side.blue,2,6,9,1.8333333333333333,177,Smite,Flash,16,False,12458,11275,Ionian Boots of Lucidity,Enchantment: Cinderhulk,The Black Cleaver,,Titanic Hydra,,38292,122997,Lane.jungle,Role.none
1,i miss you haru,Lulu,True,Side.blue,1,2,18,9.5,41,Flash,Ignite,15,False,11723,10400,Redemption,Locket of the Iron Solari,Ionian Boots of Lucidity,Eye of the Watchers,Control Ward,Needlessly Large Rod,13601,10514,Lane.bot_lane,Role.support
2,Deft Pawn,Ekko,True,Side.blue,4,12,1,0.4166666666666667,239,Teleport,Flash,16,False,12982,12655,Hextech Protobelt-01,Zhonya's Hourglass,Sheen,Boots of Swiftness,Abyssal Scepter,Aether Wisp,149588,27204,Lane.top_lane,Role.solo
3,goldenglue,LeBlanc,True,Side.blue,19,7,3,3.142857142857143,267,Teleport,Flash,18,False,18175,15770,Zhonya's Hourglass,Negatron Cloak,Sorcerer's Shoes,Rabadon's Deathcap,Morellonomicon,Void Staff,197705,14499,Lane.mid_lane,Role.solo
4,Projekt Yasuo,Jhin,True,Side.blue,3,2,14,8.5,240,Flash,Heal,16,True,13417,10850,Boots of Swiftness,Rapid Firecannon,Essence Reaver,Doran's Blade,B. F. Sword,Hexdrinker,22420,165372,Lane.bot_lane,Role.carry
5,Kimchi Kimchi,Vladimir,False,Side.red,6,8,11,2.125,170,Ghost,Flash,15,False,11947,12025,Rylai's Crystal Scepter,Spirit Visage,Hextech Protobelt-01,Ionian Boots of Lucidity,Seeker's Armguard,Elixir of Sorcery,107370,15374,Lane.mid_lane,Role.solo
6,aphromoo,Illaoi,False,Side.red,0,11,10,0.9090909090909091,32,Exhaust,Flash,12,False,7766,7275,Ruby Sightstone,Locket of the Iron Solari,Caulfield's Warhammer,Ruby Crystal,Relic Shield,Ionian Boots of Lucidity,491,33763,Lane.bot_lane,Role.support
7,Never Been,Vayne,False,Side.red,2,5,8,2.0,200,Flash,Heal,14,False,11563,11250,Doran's Blade,Infinity Edge,Berserker's Greaves,Statikk Shiv,Maw of Malmortius,,23947,120741,Lane.bot_lane,Role.carry
8,Vladfire1 BG ,Rek'Sai,False,Side.red,8,1,10,18.0,161,Smite,Flash,16,False,12870,11945,Randuin's Omen,Tiamat,Negatron Cloak,Spirit Visage,Enchantment: Cinderhulk,Ninja Tabi,47159,120513,Lane.jungle,Role.none
9,Entranced,Shaco,False,Side.red,13,4,6,4.75,238,Teleport,Ignite,17,False,14829,13175,Hextech Protobelt-01,Zhonya's Hourglass,Needlessly Large Rod,The Dark Seal,Ionian Boots of Lucidity,Lich Bane,141178,34954,Lane.top_lane,Role.solo
