,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,EnVy Nien,Syndra,False,Side.blue,4,11,13,1.5454545454545454,303,Flash,Ghost,18,False,15363,15125,Abyssal Scepter,Seeker's Armguard,Morellonomicon,Rabadon's Deathcap,Sorcerer's Shoes,Void Staff,202482,11863,Lane.mid_lane,Role.solo
1,Herstory,Zyra,False,Side.blue,2,12,21,1.9166666666666667,81,Flash,Ignite,15,False,13131,12925,Eye of the Watchers,Liandry's Torment,Sorcerer's Shoes,Rylai's Crystal Scepter,Void Staff,,77239,7347,Lane.bot_lane,Role.support
2,7788 ADC,Jayce,False,Side.blue,6,11,13,1.7272727272727273,201,Teleport,Flash,17,False,13922,13800,Null-Magic Mantle,Youmuu's Ghostblade,Guardian Angel,Maw of Malmortius,Ionian Boots of Lucidity,The Black Cleaver,11559,122525,Lane.top_lane,Role.solo
3,KarasMai,Kha'Zix,False,Side.blue,15,12,9,2.0,148,Flash,Smite,17,False,15577,15650,Enchantment: Warrior,Tiamat,Youmuu's Ghostblade,Ionian Boots of Lucidity,Lord Dominik's Regards,Duskblade of Draktharr,5969,156714,Lane.jungle,Role.none
4,Jam the Berry,Jhin,False,Side.blue,13,14,15,2.0,188,Flash,Heal,16,False,15282,15275,Hexdrinker,Essence Reaver,Ionian Boots of Lucidity,Infinity Edge,Rapid Firecannon,Lord Dominik's Regards,20125,127359,Lane.bot_lane,Role.carry
5,Cat Ears,Kennen,True,Side.red,17,8,13,3.75,133,Flash,Ignite,18,False,18240,16600,Abyssal Scepter,Eye of the Watchers,Hextech Protobelt-01,Sorcerer's Shoes,Void Staff,Rabadon's Deathcap,104800,14972,Lane.bot_lane,Role.support
6,Orbt,Ryze,True,Side.red,14,6,11,4.166666666666667,212,Flash,Ghost,18,False,17180,14625,Zhonya's Hourglass,Needlessly Large Rod,Seraph's Embrace,Guardian Angel,Rod of Ages,Mercury's Treads,187863,12329,Lane.jungle,Role.none
7,Lose,Lucian,True,Side.red,10,12,17,2.25,238,Flash,Heal,18,True,17233,15975,Essence Reaver,Rapid Firecannon,Maw of Malmortius,The Bloodthirster,Pickaxe,Berserker's Greaves,11150,186299,Lane.bot_lane,Role.carry
8,FSU Dream,Poppy,True,Side.red,4,4,13,4.25,187,Teleport,Flash,16,False,14767,13375,Frozen Heart,Ninja Tabi,Sunfire Cape,Banshee's Veil,Thornmail,Giant's Belt,38448,77757,Lane.top_lane,Role.solo
9,Dexima,Lee Sin,True,Side.red,14,10,11,2.5,107,Flash,Smite,17,False,16274,14725,Dead Man's Plate,Enchantment: Warrior,Giant's Belt,The Black Cleaver,Boots of Mobility,Maw of Malmortius,23263,133378,Lane.jungle,Role.none
