,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Espir III,Twisted Fate,False,Side.blue,5,1,7,12.0,246,Flash,Ghost,16,False,12917,10775,Doran's Ring,Boots of Swiftness,Lich Bane,Zhonya's Hourglass,Doran's Ring,Rod of Ages,167583,19339,Lane.top_lane,Role.solo
1,Bros0verHoes,Malphite,False,Side.blue,3,1,6,9.0,85,Flash,Smite,13,False,8454,12235,Tear of the Goddess,Tear of the Goddess,Tear of the Goddess,Tear of the Goddess,Tear of the Goddess,Tear of the Goddess,32175,53277,Lane.jungle,Role.none
2,CallMeGizmo,Soraka,False,Side.blue,1,6,10,1.8333333333333333,5,Exhaust,Flash,13,False,7081,6325,Frostfang,The Dark Seal,,Ruby Sightstone,Redemption,Ionian Boots of Lucidity,7665,2806,Lane.bot_lane,Role.support
3,Iing,Lucian,False,Side.blue,4,9,2,0.6666666666666666,192,Flash,Heal,13,False,10038,9400,Doran's Blade,Essence Reaver,Berserker's Greaves,Statikk Shiv,B. F. Sword,,16011,115600,Lane.bot_lane,Role.carry
4,26209633,Ahri,False,Side.blue,2,8,5,0.875,230,Flash,Ignite,15,False,9850,9120,Doran's Ring,Rylai's Crystal Scepter,Negatron Cloak,Doran's Ring,Sorcerer's Shoes,Morellonomicon,89582,15158,Lane.mid_lane,Role.solo
5,Memories of CCC,Twitch,True,Side.red,5,4,3,2.0,206,Flash,Heal,14,False,12305,11700,Doran's Blade,Runaan's Hurricane,Berserker's Greaves,Infinity Edge,Phantom Dancer,Hexdrinker,0,116159,Lane.bot_lane,Role.carry
6,TS6,Lux,True,Side.red,1,2,8,4.5,33,Flash,Exhaust,13,False,9834,8650,Frost Queen's Claim,Sightstone,Morellonomicon,Boots of Mobility,The Dark Seal,Needlessly Large Rod,44060,8403,Lane.bot_lane,Role.support
7,TQS Zuardian,Evelynn,True,Side.red,14,2,6,10.0,196,Smite,Flash,17,True,15495,14225,Hextech Protobelt-01,Enchantment: Runic Echoes,Mejai's Soulstealer,Mercury's Treads,Abyssal Scepter,Lich Bane,157225,56461,Lane.jungle,Role.none
8,Darios,Darius,True,Side.red,0,4,3,0.75,169,Ghost,Teleport,15,False,10084,8875,Corrupting Potion,The Black Cleaver,Spirit Visage,Hexdrinker,Mercury's Treads,,254,112511,Lane.top_lane,Role.solo
9,Happo,Orianna,True,Side.red,5,3,3,2.6666666666666665,212,Flash,Ghost,15,False,12323,12200,Doran's Ring,Rabadon's Deathcap,,Sorcerer's Shoes,Morellonomicon,Luden's Echo,126449,18738,Lane.mid_lane,Role.solo
