,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Yusui,Katarina,False,Side.blue,8,4,8,4.0,182,Ignite,Flash,15,False,11774,11285,Hextech Gunblade,Mejai's Soulstealer,Sorcerer's Shoes,Rylai's Crystal Scepter,Hexdrinker,Amplifying Tome,88427,15104,Lane.mid_lane,Role.solo
1,zlsna,Jayce,False,Side.blue,2,11,9,1.0,210,Flash,Teleport,15,False,10774,10775,Doran's Blade,The Black Cleaver,Hexdrinker,Mortal Reminder,Caulfield's Warhammer,Ionian Boots of Lucidity,22554,104383,Lane.top_lane,Role.solo
2,PutYourHeartsUp,Lulu,False,Side.blue,4,4,16,5.0,20,Exhaust,Flash,13,True,9918,9525,Redemption,Control Ward,Eye of the Watchers,Aegis of the Legion,Ardent Censer,Ionian Boots of Lucidity,14276,5028,Lane.bot_lane,Role.support
3,Abou222,Vayne,False,Side.blue,6,3,13,6.333333333333333,274,Heal,Flash,16,False,13724,13725,Mercurial Scimitar,Last Whisper,,Statikk Shiv,Infinity Edge,Berserker's Greaves,43399,119392,Lane.bot_lane,Role.carry
4,cute pupper irl,Lee Sin,False,Side.blue,9,4,9,4.5,159,Flash,Smite,16,False,12814,12825,Boots of Mobility,Chain Vest,Ravenous Hydra,Enchantment: Warrior,Dead Man's Plate,Hexdrinker,26443,131682,Lane.jungle,Role.none
5,Gaow Gaiy,Maokai,True,Side.red,2,3,14,5.333333333333333,212,Flash,Teleport,16,False,12809,11700,Dead Man's Plate,Spirit Visage,Sunfire Cape,Doran's Ring,Chain Vest,Ninja Tabi,111437,24517,Lane.top_lane,Role.solo
6,YummiBananas,Jax,True,Side.red,10,4,7,4.25,173,Smite,Ghost,17,False,14650,12608,Enchantment: Bloodrazor,Vampiric Scepter,Giant's Belt,Frozen Mallet,Trinity Force,Ninja Tabi,49061,161221,Lane.jungle,Role.none
7,C9 Meteos,Twitch,True,Side.red,9,8,5,1.75,189,Heal,Flash,15,False,13983,12425,Doran's Blade,B. F. Sword,Runaan's Hurricane,Berserker's Greaves,Infinity Edge,Phantom Dancer,0,128444,Lane.bot_lane,Role.carry
8,Rohammers,Soraka,True,Side.red,0,7,12,1.7142857142857142,25,Flash,Exhaust,13,False,8888,7775,Eye of the Oasis,Redemption,Locket of the Iron Solari,Refillable Potion,Ionian Boots of Lucidity,Control Ward,5584,3831,Lane.bot_lane,Role.support
9,Cris,Kennen,True,Side.red,5,7,11,2.2857142857142856,224,Flash,Teleport,16,False,13209,11060,Hextech Protobelt-01,Zhonya's Hourglass,Amplifying Tome,Sorcerer's Shoes,Abyssal Scepter,Doran's Blade,99703,28990,Lane.mid_lane,Role.solo
