,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Base Reality,Lux,False,Side.blue,1,3,3,1.3333333333333333,196,Flash,Barrier,14,False,8733,7250,Doran's Ring,Needlessly Large Rod,Sorcerer's Shoes,Doran's Ring,Morellonomicon,Blasting Wand,91396,18226,Lane.mid_lane,Role.solo
1,Zv Pickle,Janna,False,Side.blue,0,9,11,1.2222222222222223,16,Flash,Exhaust,11,False,6960,6875,Boots of Speed,Eye of the Watchers,Redemption,Aegis of the Legion,Null-Magic Mantle,,8166,2011,Lane.bot_lane,Role.none
2,l Light I,Jhin,False,Side.blue,4,8,4,1.0,148,Flash,Heal,11,False,8663,7770,Doran's Blade,Essence Reaver,Rapid Firecannon,Boots of Swiftness,,,3526,84627,Lane.bot_lane,Role.none
3,hi im kouhai,Riven,False,Side.blue,4,6,3,1.1666666666666667,185,Flash,Teleport,14,False,9510,9300,Maw of Malmortius,Refillable Potion,Vampiric Scepter,Ionian Boots of Lucidity,The Black Cleaver,Warden's Mail,0,96067,Lane.top_lane,Role.solo
4,UnbearableBear,Volibear,False,Side.blue,8,6,4,2.0,145,Smite,Ghost,14,False,10321,10235,Enchantment: Cinderhulk,Randuin's Omen,Control Ward,Ninja Tabi,Spirit Visage,Cloth Armor,55424,69907,Lane.bot_lane,Role.none
5,skmasamune,Ashe,True,Side.red,11,6,11,3.6666666666666665,210,Heal,Flash,15,True,14177,12950,Runaan's Hurricane,Blade of the Ruined King,Berserker's Greaves,Infinity Edge,Last Whisper,Long Sword,1153,138401,Lane.bot_lane,Role.carry
6,im dao mei Ge,Nautilus,True,Side.red,2,5,15,3.4,35,Flash,Exhaust,12,False,8583,7075,Face of the Mountain,Ruby Sightstone,Redemption,Total Biscuit of Rejuvenation,Null-Magic Mantle,Boots of Speed,10368,8099,Lane.bot_lane,Role.support
7,DJWaffleStomp,Katarina,True,Side.red,7,2,5,6.0,160,Ignite,Flash,15,False,11088,8835,Zhonya's Hourglass,Abyssal Scepter,Blasting Wand,Amplifying Tome,Doran's Shield,Sorcerer's Shoes,94505,10324,Lane.top_lane,Role.solo
8,simple is best,Cassiopeia,True,Side.red,4,2,7,5.5,210,Ghost,Flash,15,False,11635,9925,Morellonomicon,Rylai's Crystal Scepter,Fiendish Codex,Seeker's Armguard,Doran's Ring,Tear of the Goddess,120343,8321,Lane.mid_lane,Role.solo
9,6IIII9,Lee Sin,True,Side.red,8,3,9,5.666666666666667,118,Smite,Flash,14,False,11587,10400,Cloth Armor,Enchantment: Warrior,Mercury's Treads,Maw of Malmortius,,Dead Man's Plate,19200,108181,Lane.jungle,Role.none
