,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Leshaunda,Rengar,False,Side.blue,9,9,3,1.3333333333333333,226,Teleport,Flash,16,False,12919,12200,Doran's Blade,Ravenous Hydra,Boots of Swiftness,Duskblade of Draktharr,The Black Cleaver,Chain Vest,4758,144757,Lane.top_lane,Role.solo
1,Haru Tenshi,Lucian,False,Side.blue,8,9,4,1.3333333333333333,203,Flash,Heal,14,False,12783,11600,Doran's Blade,Essence Reaver,Infinity Edge,Statikk Shiv,Berserker's Greaves,,22009,136414,Lane.bot_lane,Role.duo
2,jyjyjy,Ahri,False,Side.blue,4,12,5,0.75,215,Flash,Ignite,15,False,11434,10950,Morellonomicon,Needlessly Large Rod,Luden's Echo,Doran's Ring,Giant's Belt,Sorcerer's Shoes,86480,22323,Lane.mid_lane,Role.solo
3,The shy II,Lee Sin,False,Side.blue,6,9,5,1.2222222222222223,118,Smite,Flash,14,False,11317,11150,Phage,Randuin's Omen,Enchantment: Warrior,Boots of Mobility,Maw of Malmortius,,25816,97192,Lane.jungle,Role.none
4,Oatmeeal,Alistar,False,Side.blue,2,5,16,3.6,54,Flash,Exhaust,15,False,10531,8950,Knight's Vow,Ruby Sightstone,Face of the Mountain,Boots of Mobility,Glacial Shroud,Cloth Armor,16518,10313,Lane.bot_lane,Role.duo
5,Torn Anus,Kha'Zix,True,Side.red,17,7,6,3.2857142857142856,110,Flash,Smite,18,False,15305,15200,Youmuu's Ghostblade,Death's Dance,Mercury's Treads,Enchantment: Warrior,Duskblade of Draktharr,Caulfield's Warhammer,7310,150917,Lane.jungle,Role.none
6,ityyy,Katarina,True,Side.red,15,5,10,5.0,197,Flash,Ignite,16,True,15591,13125,The Dark Seal,Blasting Wand,Sorcerer's Shoes,Hextech Gunblade,Rylai's Crystal Scepter,Rabadon's Deathcap,160374,18790,Lane.mid_lane,Role.solo
7,Na Kirby,Karma,True,Side.red,3,6,25,4.666666666666667,24,Exhaust,Flash,15,False,12330,10600,Eye of the Watchers,Redemption,Control Ward,Ionian Boots of Lucidity,Locket of the Iron Solari,Knight's Vow,21089,9151,Lane.bot_lane,Role.support
8,singed420,Singed,True,Side.red,1,10,1,0.2,270,Ghost,Teleport,17,False,13107,12150,Blade of the Ruined King,Thornmail,Ravenous Hydra,Berserker's Greaves,Doran's Blade,Zeal,82413,106812,Lane.top_lane,Role.solo
9,FaR007,Caitlyn,True,Side.red,8,4,13,5.25,205,Heal,Flash,16,False,14456,14550,Berserker's Greaves,Infinity Edge,Runaan's Hurricane,Rapid Firecannon,Lord Dominik's Regards,Vampiric Scepter,1632,151515,Lane.bot_lane,Role.carry
