,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,AlfredXillia,Malphite,False,Side.blue,1,2,2,1.5,134,Flash,Teleport,12,False,6196,6025,Corrupting Potion,Spirit Visage,Boots of Speed,Bami's Cinder,Chain Vest,Null-Magic Mantle,37198,25212,Lane.top_lane,Role.solo
1,Bostons Finest95,Jhin,False,Side.blue,3,4,3,1.5,110,Heal,Flash,11,False,6508,6475,Doran's Blade,Essence Reaver,Zeal,,Boots of Swiftness,,1190,54596,Lane.bot_lane,Role.carry
2,Vladfire1 BG ,Shyvana,False,Side.blue,2,5,3,1.0,121,Smite,Flash,12,False,7278,6850,Spectre's Cowl,Refillable Potion,Enchantment: Cinderhulk,Boots of Speed,Phage,Stinger,68609,37126,Lane.jungle,Role.none
3,UHUNG,Zed,False,Side.blue,2,5,1,0.6,102,Ignite,Flash,11,False,5880,5225,,Youmuu's Ghostblade,Phage,Doran's Blade,Boots of Speed,,3514,47028,Lane.mid_lane,Role.solo
4,VV1nston,Brand,False,Side.blue,4,6,0,0.6666666666666666,28,Flash,Ignite,9,False,5730,5035,Eye of the Watchers,Total Biscuit of Rejuvenation,Sorcerer's Shoes,Giant's Belt,Amplifying Tome,,18537,3105,Lane.bot_lane,Role.support
5,JaySo,Ahri,True,Side.red,1,3,5,2.0,118,Teleport,Flash,12,False,7664,6485,Needlessly Large Rod,Morellonomicon,Refillable Potion,Sorcerer's Shoes,Doran's Ring,Amplifying Tome,36701,13465,Lane.top_lane,Role.solo
6,Mennonite,Lee Sin,True,Side.red,4,2,5,4.5,86,Smite,Flash,12,False,8382,7125,Tiamat,Enchantment: Warrior,Mercury's Treads,Giant's Belt,Warden's Mail,,13241,67841,Lane.jungle,Role.none
7,5252,Draven,True,Side.red,12,2,5,8.5,126,Flash,Heal,12,True,12048,10950,Berserker's Greaves,Infinity Edge,Zeal,Doran's Blade,Kircheis Shard,The Bloodthirster,1176,74713,Lane.bot_lane,Role.carry
8,Hurleyo,Cassiopeia,True,Side.red,2,3,7,3.0,173,Ghost,Flash,13,False,8438,7575,Tear of the Goddess,Zhonya's Hourglass,Refillable Potion,Rylai's Crystal Scepter,,Doran's Ring,75765,10152,Lane.mid_lane,Role.solo
9,Foosha,Janna,True,Side.red,3,2,14,8.5,7,Exhaust,Flash,12,False,6900,5850,Redemption,Sightstone,,Mejai's Soulstealer,Ionian Boots of Lucidity,Spellthief's Edge,4349,4409,Lane.bot_lane,Role.support
