,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,BigCakes,Blitzcrank,True,Side.blue,1,4,28,7.25,41,Ignite,Flash,15,False,10545,9525,Knight's Vow,Redemption,Sightstone,Locket of the Iron Solari,Boots of Mobility,Targon's Brace,16397,10111,Lane.bot_lane,Role.support
1,Morde Next Door,Mordekaiser,True,Side.blue,11,7,11,3.142857142857143,198,Flash,Exhaust,15,False,13928,11300,Sorcerer's Shoes,Hextech Gunblade,Refillable Potion,Rylai's Crystal Scepter,Void Staff,Chain Vest,127157,13352,Lane.bot_lane,Role.carry
2,Inori l Yuzuriha,Gangplank,True,Side.blue,8,7,15,3.2857142857142856,233,Teleport,Flash,17,False,15136,13008,Ionian Boots of Lucidity,Trinity Force,B. F. Sword,Doran's Ring,Duskblade of Draktharr,Mortal Reminder,20842,186771,Lane.top_lane,Role.solo
3,Darvec,Hecarim,True,Side.blue,11,7,19,4.285714285714286,174,Smite,Ghost,17,False,14648,13658,Enchantment: Cinderhulk,Dead Man's Plate,Ionian Boots of Lucidity,Trinity Force,Spirit Visage,Cloth Armor,35698,140585,Lane.jungle,Role.none
4,JaySo,Ahri,True,Side.blue,11,3,12,7.666666666666667,231,Ignite,Flash,17,False,14941,15025,Morellonomicon,Rabadon's Deathcap,Zhonya's Hourglass,Void Staff,Lost Chapter,Sorcerer's Shoes,101235,17795,Lane.mid_lane,Role.solo
5,NamfailI59A578,Ryze,False,Side.red,4,10,4,0.8,192,Flash,Teleport,15,False,12235,11425,Seraph's Embrace,Refillable Potion,,Sorcerer's Shoes,Rabadon's Deathcap,Rod of Ages,128221,8374,Lane.mid_lane,Role.solo
6,data88,Nasus,False,Side.red,2,8,6,1.0,322,Teleport,Flash,17,False,15254,14220,Iceborn Gauntlet,Zz'Rot Portal,Ninja Tabi,Spirit Visage,The Bloodthirster,Negatron Cloak,55484,181965,Lane.top_lane,Role.solo
7,Silver Bolted,Caitlyn,False,Side.red,5,8,9,1.75,216,Flash,Heal,15,True,13334,11725,Doran's Blade,Infinity Edge,Rapid Firecannon,Runaan's Hurricane,Berserker's Greaves,Vampiric Scepter,3112,154886,Lane.bot_lane,Role.carry
8,Henrÿ,Vi,False,Side.red,15,10,5,2.0,172,Flash,Smite,16,False,15539,14933,Boots of Mobility,Enchantment: Warrior,Last Whisper,Trinity Force,Dead Man's Plate,Maw of Malmortius,4782,180432,Lane.jungle,Role.none
9,Simon Hawkes,Tahm Kench,False,Side.red,2,6,11,2.1666666666666665,45,Exhaust,Flash,14,False,9679,9075,Locket of the Iron Solari,Sightstone,Redemption,Relic Shield,Boots of Swiftness,Knight's Vow,13345,7044,Lane.bot_lane,Role.support
