,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Deceitful Diana,Corki,False,Side.blue,6,5,3,1.8,173,Flash,Exhaust,13,False,9807,9258,Bilgewater Cutlass,Corrupting Potion,Hexdrinker,Sorcerer's Shoes,Hextech Revolver,Trinity Force,67148,19612,Lane.mid_lane,Role.solo
1,Walljumper,Shyvana,False,Side.blue,4,3,4,2.6666666666666665,163,Smite,Ghost,14,False,10764,8908,Enchantment: Bloodrazor,Refillable Potion,Mercury's Treads,Trinity Force,Cloth Armor,Giant's Belt,80973,75130,Lane.jungle,Role.none
2,sUbOpTiMaLpLaYeR,Vayne,False,Side.blue,3,3,2,1.6666666666666667,156,Heal,Flash,12,False,8810,6950,Doran's Blade,Berserker's Greaves,Statikk Shiv,Cull,B. F. Sword,Pickaxe,7970,63996,Lane.bot_lane,Role.carry
3,bvcx222,Blitzcrank,False,Side.blue,2,10,4,0.6,35,Flash,Ignite,9,True,6791,5675,Sightstone,Total Biscuit of Rejuvenation,Locket of the Iron Solari,Targon's Brace,Control Ward,Boots of Mobility,4531,5420,Lane.bot_lane,Role.support
4,LearningToPIay,Swain,False,Side.blue,1,4,5,1.5,170,Flash,Teleport,14,False,8676,7925,Corrupting Potion,Hextech GLP-800,The Dark Seal,Spirit Visage,Ionian Boots of Lucidity,Cloth Armor,66946,15503,Lane.top_lane,Role.solo
5,sbimp,Syndra,True,Side.red,6,2,5,5.5,165,Flash,Ghost,13,False,10290,8775,Rylai's Crystal Scepter,Blasting Wand,Total Biscuit of Rejuvenation,Doran's Ring,Morellonomicon,Sorcerer's Shoes,82900,16128,Lane.mid_lane,Role.solo
6,Delerium,Janna,True,Side.red,1,2,20,10.5,12,Exhaust,Flash,12,False,8266,6750,Redemption,Talisman of Ascension,Sightstone,,Ionian Boots of Lucidity,,7690,4727,Lane.bot_lane,Role.support
7,Useless Champ,Mordekaiser,True,Side.red,3,3,7,3.3333333333333335,199,Ignite,Flash,15,False,10438,8285,Liandry's Torment,Rylai's Crystal Scepter,Boots of Swiftness,Amplifying Tome,,,112389,17403,Lane.top_lane,Role.solo
8,Nero Valentine,Lee Sin,True,Side.red,5,5,14,3.8,95,Smite,Flash,13,False,10451,9200,Enchantment: Warrior,Tiamat,Refillable Potion,Boots of Swiftness,Dead Man's Plate,Spectre's Cowl,16143,98933,Lane.jungle,Role.none
9,twitchtvz4mk4,Ashe,True,Side.red,10,5,6,3.2,169,Heal,Flash,13,False,11725,9625,Cull,Doran's Blade,Runaan's Hurricane,Essence Reaver,Berserker's Greaves,B. F. Sword,890,92766,Lane.bot_lane,Role.carry
