,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Gerrard,Thresh,True,Side.blue,1,4,16,4.25,29,Flash,Exhaust,11,False,7579,7075,Ruby Sightstone,Redemption,Aegis of the Legion,Targon's Brace,Boots of Mobility,,6272,4661,Lane.bot_lane,Role.support
1,PutYourHeartsUp,Ahri,True,Side.blue,12,3,16,9.333333333333334,168,Ignite,Flash,15,False,12559,12010,Amplifying Tome,Blasting Wand,Rylai's Crystal Scepter,Abyssal Scepter,Morellonomicon,Sorcerer's Shoes,62828,15643,Lane.mid_lane,Role.solo
2,Cris,Jayce,True,Side.blue,13,2,9,11.0,234,Flash,Teleport,16,False,13903,11900,Refillable Potion,Mortal Reminder,The Black Cleaver,Mercury's Treads,B. F. Sword,Maw of Malmortius,27882,139787,Lane.top_lane,Role.solo
3,Fragas,Lee Sin,True,Side.blue,11,3,18,9.666666666666666,89,Flash,Smite,14,False,11650,10595,Enchantment: Warrior,Randuin's Omen,Mercury's Treads,Negatron Cloak,Dead Man's Plate,,14879,59383,Lane.jungle,Role.none
4,Jeehun,Ezreal,True,Side.blue,10,6,13,3.8333333333333335,156,Flash,Heal,13,False,11892,9830,Bilgewater Cutlass,Doran's Blade,Iceborn Gauntlet,Ionian Boots of Lucidity,Muramana,Recurve Bow,10548,81000,Lane.bot_lane,Role.carry
5,Yami,Rumble,False,Side.red,0,14,2,0.14285714285714285,120,Flash,Teleport,11,False,6654,4710,Doran's Shield,Liandry's Torment,Boots of Speed,Amplifying Tome,,,61444,8724,Lane.top_lane,Role.solo
6,retarded virgin,Kha'Zix,False,Side.red,13,10,2,1.5,95,Flash,Smite,13,True,10664,9825,Ionian Boots of Lucidity,Youmuu's Ghostblade,Tiamat,Enchantment: Warrior,Serrated Dirk,Pickaxe,4580,100371,Lane.jungle,Role.none
7,cesuna,Veigar,False,Side.red,2,7,3,0.7142857142857143,180,Flash,Teleport,13,False,8416,6625,Morellonomicon,,Banshee's Veil,Boots of Speed,Doran's Ring,The Dark Seal,84499,9938,Lane.mid_lane,Role.solo
8,Clyde Bot,Bard,False,Side.red,2,8,7,1.125,12,Heal,Flash,11,False,6838,6525,Boots of Mobility,Control Ward,Frostfang,Mikael's Crucible,Null-Magic Mantle,Ruby Sightstone,8521,4659,Lane.bot_lane,Role.support
9,Falco Mechanic,Jinx,False,Side.red,1,8,9,1.25,133,Exhaust,Flash,12,False,8091,7000,Doran's Blade,Infinity Edge,Berserker's Greaves,Control Ward,Zeal,Dagger,367,72482,Lane.bot_lane,Role.carry
