,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,McCashDollar,Singed,False,Side.blue,1,9,3,0.4444444444444444,172,Ghost,Teleport,14,False,8710,7975,Righteous Glory,Corrupting Potion,Mercury's Treads,Needlessly Large Rod,Giant's Belt,Raptor Cloak,102944,4724,Lane.top_lane,Role.solo
1,Wiggily,Olaf,False,Side.blue,3,6,3,1.0,114,Ghost,Smite,13,False,8897,8325,Enchantment: Cinderhulk,Spectre's Cowl,Ruby Crystal,Ionian Boots of Lucidity,Dead Man's Plate,,12734,82351,Lane.jungle,Role.none
2,AKA SIeepingDAWG,Alistar,False,Side.blue,3,8,6,1.125,28,Flash,Heal,10,False,7326,6825,Ruby Sightstone,Boots of Mobility,Crystalline Bracer,Control Ward,,Talisman of Ascension,10503,4930,Lane.bot_lane,Role.support
3,Falco Mechanic,Vayne,False,Side.blue,9,8,4,1.625,216,Exhaust,Flash,14,False,13092,12925,Mercurial Scimitar,Berserker's Greaves,Infinity Edge,Phantom Dancer,Doran's Blade,Pickaxe,0,131318,Lane.bot_lane,Role.carry
4,Liquid fabbbyyy,Jhin,False,Side.blue,5,12,3,0.6666666666666666,147,Flash,Ignite,13,False,9302,7600,Youmuu's Ghostblade,Maw of Malmortius,Boots of Swiftness,Long Sword,,,9748,77168,Lane.jungle,Role.none
5,LimitedExtent,Kennen,True,Side.red,7,2,7,7.0,182,Teleport,Flash,15,False,11413,9525,,Hextech Protobelt-01,Zhonya's Hourglass,Rylai's Crystal Scepter,Boots of Speed,Doran's Blade,75785,29932,Lane.top_lane,Role.solo
6,An Obese Panda,Brand,True,Side.red,9,7,17,3.7142857142857144,27,Flash,Ignite,13,True,11049,8460,Blasting Wand,Eye of the Watchers,Doran's Ring,Amplifying Tome,Boots of Mobility,Liandry's Torment,41262,6526,Lane.bot_lane,Role.support
7,Strompest,Syndra,True,Side.red,10,4,15,6.25,189,Flash,Ghost,16,False,13294,10950,Rylai's Crystal Scepter,Doran's Ring,The Dark Seal,Sorcerer's Shoes,Morellonomicon,Void Staff,136061,11361,Lane.mid_lane,Role.solo
8,dog deft,Ezreal,True,Side.red,4,5,11,3.0,129,Flash,Heal,14,False,9869,8175,Ionian Boots of Lucidity,Muramana,Iceborn Gauntlet,Vampiric Scepter,Cull,Doran's Blade,7550,74638,Lane.bot_lane,Role.carry
9,21 Savagé,Vi,True,Side.red,13,3,9,7.333333333333333,125,Smite,Flash,15,False,12477,11133,Enchantment: Warrior,Randuin's Omen,Control Ward,Trinity Force,Ruby Crystal,Ninja Tabi,1142,134252,Lane.jungle,Role.none
