,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Asyc xD ,Vayne,False,Side.blue,6,10,14,2.0,338,Heal,Flash,18,False,20732,18700,Statikk Shiv,Mercurial Scimitar,Infinity Edge,Phantom Dancer,Berserker's Greaves,Lord Dominik's Regards,89221,219092,Lane.bot_lane,Role.carry
1,Firé,Yasuo,False,Side.blue,7,4,10,4.25,364,Teleport,Flash,18,False,20528,20325,Mercury's Treads,Randuin's Omen,The Bloodthirster,Infinity Edge,Phantom Dancer,Frozen Mallet,35459,299123,Lane.top_lane,Role.solo
2,CloudNguyén,Brand,False,Side.blue,8,11,13,1.9090909090909092,104,Ignite,Flash,17,False,17873,16330,Eye of the Watchers,Needlessly Large Rod,Void Staff,Sorcerer's Shoes,Rylai's Crystal Scepter,Liandry's Torment,104627,9118,Lane.bot_lane,Role.support
3,One Called Saint,Rek'Sai,False,Side.blue,5,11,13,1.6363636363636365,216,Flash,Smite,18,False,18265,17000,Titanic Hydra,Randuin's Omen,Enchantment: Cinderhulk,Ninja Tabi,Thornmail,Spirit Visage,51757,144960,Lane.jungle,Role.none
4,Just what I am,Varus,False,Side.blue,10,7,13,3.2857142857142856,321,Flash,Ghost,18,False,20128,22205,Maw of Malmortius,Mercurial Scimitar,The Black Cleaver,Muramana,Lord Dominik's Regards,Ionian Boots of Lucidity,25350,273346,Lane.mid_lane,Role.solo
5,Kebin M,Riven,True,Side.red,8,9,11,2.111111111111111,229,Flash,Smite,18,True,19084,17375,Ravenous Hydra,Dead Man's Plate,Guardian Angel,Ninja Tabi,The Black Cleaver,Enchantment: Warrior,3987,268108,Lane.jungle,Role.none
6,Liquid Matt,Lulu,True,Side.red,3,8,27,3.75,52,Exhaust,Flash,18,False,16903,16505,Ardent Censer,Rabadon's Deathcap,Eye of the Watchers,Redemption,Ionian Boots of Lucidity,Zeke's Harbinger,73476,13260,Lane.bot_lane,Role.support
7,ddwaeji,Malphite,True,Side.red,9,4,13,5.5,346,Flash,Teleport,18,False,20088,17800,Randuin's Omen,Zz'Rot Portal,Locket of the Iron Solari,Frozen Heart,Sunfire Cape,Ninja Tabi,165904,62571,Lane.top_lane,Role.solo
8,Regular Mid,Twitch,True,Side.red,12,9,15,3.0,315,Flash,Heal,18,False,21338,21650,Runaan's Hurricane,Mortal Reminder,Blade of the Ruined King,Statikk Shiv,Berserker's Greaves,Infinity Edge,10887,254123,Lane.bot_lane,Role.carry
9,bvcx222,Malzahar,True,Side.red,11,6,12,3.8333333333333335,335,Flash,Ghost,18,False,21030,19325,Zhonya's Hourglass,Liandry's Torment,Rylai's Crystal Scepter,Void Staff,Morellonomicon,Sorcerer's Shoes,299272,37511,Lane.mid_lane,Role.solo
