,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,TeddyRO,Miss Fortune,True,Side.blue,8,20,20,1.4,50,Flash,Exhaust,15,False,14863,13950,Eye of the Watchers,Phage,Edge of Night,Boots of Swiftness,The Black Cleaver,Maw of Malmortius,20459,53891,Lane.bot_lane,Role.support
1,godrjsdnd,Lissandra,True,Side.blue,6,4,19,6.25,258,Teleport,Flash,18,False,16226,13650,Ionian Boots of Lucidity,Zhonya's Hourglass,Abyssal Scepter,Rod of Ages,Void Staff,Needlessly Large Rod,195351,21025,Lane.mid_lane,Role.solo
2,HoNSol0,Ashe,True,Side.blue,6,9,16,2.4444444444444446,202,Flash,Heal,18,False,15638,14000,Doran's Blade,Infinity Edge,Lord Dominik's Regards,Banshee's Veil,Runaan's Hurricane,Berserker's Greaves,2232,168224,Lane.bot_lane,Role.carry
3,Thalies,Katarina,True,Side.blue,23,10,16,3.9,184,Teleport,Flash,18,True,19347,19075,Void Staff,,Rabadon's Deathcap,Hextech Gunblade,Sorcerer's Shoes,Rylai's Crystal Scepter,166070,17437,Lane.top_lane,Role.solo
4,Prestivent,Kha'Zix,True,Side.blue,10,7,11,3.0,149,Flash,Smite,17,False,15161,14935,Enchantment: Warrior,Edge of Night,Duskblade of Draktharr,Maw of Malmortius,Mercury's Treads,Needlessly Large Rod,5063,145298,Lane.jungle,Role.none
5,EnVy Nien,Elise,False,Side.red,8,9,10,2.0,86,Flash,Smite,16,False,13390,12250,Enchantment: Runic Echoes,Zhonya's Hourglass,Rylai's Crystal Scepter,,Boots of Mobility,Guardian Angel,85293,25820,Lane.jungle,Role.none
6,Cris,Rumble,False,Side.red,14,14,10,1.7142857142857142,295,Flash,Teleport,18,False,17769,15375,Hextech Protobelt-01,Zhonya's Hourglass,Needlessly Large Rod,Sorcerer's Shoes,Abyssal Scepter,Void Staff,200713,14408,Lane.top_lane,Role.solo
7,Rositajonez,Caitlyn,False,Side.red,10,9,13,2.5555555555555554,341,Heal,Flash,18,False,18004,16675,Phantom Dancer,Infinity Edge,Berserker's Greaves,Mercurial Scimitar,Banshee's Veil,Runaan's Hurricane,891,268473,Lane.bot_lane,Role.carry
8,Dhokla,Jayce,False,Side.red,10,10,10,2.0,198,Flash,Exhaust,16,False,14586,14675,Mercurial Scimitar,Maw of Malmortius,Last Whisper,Giant Slayer,Mercury's Treads,The Black Cleaver,21466,139031,Lane.mid_lane,Role.solo
9,Rushil Fangirl,Alistar,False,Side.red,7,11,19,2.3636363636363638,28,Flash,Ignite,15,False,12552,12000,Eye of the Equinox,Control Ward,Locket of the Iron Solari,Zz'Rot Portal,Mercury's Treads,Banshee's Veil,11553,7775,Lane.bot_lane,Role.support
