,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Rudeclaw,Tristana,False,Side.blue,11,10,4,1.5,239,Flash,Heal,15,False,14244,13600,Doran's Blade,Infinity Edge,Berserker's Greaves,Runaan's Hurricane,Rapid Firecannon,Lord Dominik's Regards,27482,133546,Lane.bot_lane,Role.duo
1,hi im cho ah,Lee Sin,False,Side.blue,7,13,9,1.2307692307692308,134,Flash,Smite,16,False,11926,10975,Mercury's Treads,Refillable Potion,Enchantment: Warrior,Dead Man's Plate,Youmuu's Ghostblade,Hexdrinker,21937,93971,Lane.jungle,Role.none
2,Nancy Tran,Riven,False,Side.blue,3,9,4,0.7777777777777778,265,Teleport,Flash,17,False,12422,11800,Ravenous Hydra,Death's Dance,,The Black Cleaver,Ionian Boots of Lucidity,Doran's Shield,0,180297,Lane.top_lane,Role.solo
3,p1a5ma,Heimerdinger,False,Side.blue,3,7,19,3.142857142857143,118,Exhaust,Flash,15,False,11774,11200,Ionian Boots of Lucidity,Eye of the Equinox,Zz'Rot Portal,Spirit Visage,Redemption,Faerie Charm,44381,8572,Lane.bot_lane,Role.duo
4,FarmVilles,Annie,False,Side.blue,8,7,9,2.4285714285714284,250,Ignite,Flash,17,False,13568,13000,Needlessly Large Rod,Blasting Wand,Void Staff,Rod of Ages,Luden's Echo,Sorcerer's Shoes,154608,15735,Lane.mid_lane,Role.solo
5,ll Creed ll,Renekton,True,Side.red,3,6,10,2.1666666666666665,246,Teleport,Flash,18,False,14087,13775,The Black Cleaver,Titanic Hydra,Guardian Angel,Warmog's Armor,Ninja Tabi,,9184,155579,Lane.top_lane,Role.solo
6,TRUMPSSMALLHANDS,Olaf,True,Side.red,8,6,22,5.0,97,Ghost,Smite,17,False,14790,14175,Enchantment: Cinderhulk,Locket of the Iron Solari,Guardian Angel,Dead Man's Plate,Ionian Boots of Lucidity,Warmog's Armor,26623,116389,Lane.jungle,Role.none
7,sGerry,Miss Fortune,True,Side.red,16,5,12,5.6,257,Heal,Flash,17,False,18054,18250,Duskblade of Draktharr,Youmuu's Ghostblade,Lord Dominik's Regards,Berserker's Greaves,Statikk Shiv,Infinity Edge,22123,188960,Lane.bot_lane,Role.carry
8,Burp The Worm,Zyra,True,Side.red,4,8,18,2.75,64,Ignite,Flash,14,True,13254,11910,Sorcerer's Shoes,Liandry's Torment,Blasting Wand,Eye of the Watchers,Amplifying Tome,Rylai's Crystal Scepter,68906,9975,Lane.bot_lane,Role.support
9,Ombreobscure,Twisted Fate,True,Side.red,15,7,13,4.0,240,Ghost,Flash,18,False,18320,16400,Zhonya's Hourglass,Needlessly Large Rod,Lich Bane,Void Staff,Rabadon's Deathcap,Ionian Boots of Lucidity,191844,17073,Lane.mid_lane,Role.solo
