,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,vicXD,Kha'Zix,False,Side.blue,2,6,4,1.0,134,Flash,Smite,14,False,10569,9825,Enchantment: Warrior,Youmuu's Ghostblade,Boots of Swiftness,,The Black Cleaver,,3183,130618,Lane.jungle,Role.none
1,Snowfly,Caitlyn,False,Side.blue,2,3,10,4.0,227,Flash,Heal,14,False,12058,10975,Doran's Blade,Runaan's Hurricane,Lord Dominik's Regards,Berserker's Greaves,Infinity Edge,Dagger,579,162497,Lane.bot_lane,Role.carry
2,Katlife,Katarina,False,Side.blue,16,6,2,3.0,198,Flash,Ignite,15,False,14290,14975,Rabadon's Deathcap,Void Staff,Guardian Angel,Rylai's Crystal Scepter,Sorcerer's Shoes,,128123,11881,Lane.mid_lane,Role.solo
3,VegetableVelkoz,Vel'Koz,False,Side.blue,1,9,10,1.2222222222222223,41,Exhaust,Flash,12,False,10065,9525,Eye of the Watchers,Boots of Swiftness,Giant's Belt,Liandry's Torment,Needlessly Large Rod,,29491,4243,Lane.bot_lane,Role.support
4,Darmous,Poppy,False,Side.blue,2,3,9,3.6666666666666665,231,Flash,Teleport,16,False,11483,10850,Randuin's Omen,Corrupting Potion,Mercury's Treads,Spirit Visage,Sunfire Cape,Crystalline Bracer,51620,92942,Lane.top_lane,Role.solo
5,Based Envy,Vayne,True,Side.red,15,4,7,5.5,249,Heal,Flash,17,False,17115,15785,Infinity Edge,Essence Reaver,Phantom Dancer,B. F. Sword,Berserker's Greaves,Statikk Shiv,32274,173450,Lane.bot_lane,Role.carry
6,NiceTwig,Skarner,True,Side.red,2,4,13,3.75,126,Flash,Smite,15,False,12007,9675,Enchantment: Cinderhulk,Dead Man's Plate,,,Spirit Visage,Boots of Swiftness,42364,72492,Lane.jungle,Role.none
7,Kha Zix Scripter,Ziggs,True,Side.red,8,7,7,2.142857142857143,189,Exhaust,Flash,15,True,13529,11610,Doran's Ring,Seraph's Embrace,Sorcerer's Shoes,Abyssal Scepter,Void Staff,Fiendish Codex,127494,13854,Lane.mid_lane,Role.solo
8,only grab grills,Nautilus,True,Side.red,1,4,16,4.25,217,Teleport,Flash,16,False,13090,10400,Corrupting Potion,Zz'Rot Portal,Locket of the Iron Solari,Sunfire Cape,Mercury's Treads,Giant's Belt,97843,28616,Lane.top_lane,Role.solo
9,Slightly Sexual,Janna,True,Side.red,1,4,21,5.5,21,Exhaust,Flash,14,False,11856,10525,Eye of the Oasis,Control Ward,Redemption,Aegis of the Legion,Ionian Boots of Lucidity,Ardent Censer,13142,3946,Lane.bot_lane,Role.support
