,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,that808gamer,Ryze,False,Side.blue,5,7,10,2.142857142857143,217,Flash,Teleport,17,False,14167,13350,Seraph's Embrace,Zhonya's Hourglass,Rylai's Crystal Scepter,Rod of Ages,Boots of Swiftness,,191874,13984,Lane.top_lane,Role.solo
1,iPav999,Urgot,False,Side.blue,5,8,9,1.75,194,Heal,Flash,16,True,13873,13200,Muramana,Null-Magic Mantle,Boots of Swiftness,The Black Cleaver,Iceborn Gauntlet,Lord Dominik's Regards,1718,133404,Lane.bot_lane,Role.carry
2,Hibyeman,Zyra,False,Side.blue,2,8,14,2.0,23,Flash,Exhaust,14,False,12076,11275,Eye of the Watchers,Boots of Mobility,Refillable Potion,Liandry's Torment,Rylai's Crystal Scepter,Control Ward,40227,6044,Lane.bot_lane,Role.support
3,jeffrey0529,Graves,False,Side.blue,5,9,1,0.6666666666666666,261,Smite,Flash,17,False,15253,12850,Enchantment: Warrior,Edge of Night,Berserker's Greaves,Phantom Dancer,Maw of Malmortius,,4449,255915,Lane.jungle,Role.none
4,Kyree,Ekko,False,Side.blue,15,4,3,4.5,251,Flash,Ignite,18,False,16469,15500,Needlessly Large Rod,Void Staff,Hextech Gunblade,Ionian Boots of Lucidity,Lich Bane,Blasting Wand,187822,27170,Lane.mid_lane,Role.solo
5,SoloMeatballOnly,Irelia,True,Side.red,8,11,5,1.1818181818181819,256,Teleport,Flash,18,False,16758,14933,Trinity Force,Spirit Visage,Bilgewater Cutlass,Mercury's Treads,Dead Man's Plate,Guardian Angel,4442,147152,Lane.top_lane,Role.solo
6,OUT DO YA,Ezreal,True,Side.red,9,5,11,4.0,233,Flash,Heal,18,False,16772,15700,Blade of the Ruined King,Maw of Malmortius,Quicksilver Sash,Iceborn Gauntlet,Ionian Boots of Lucidity,Muramana,26634,154332,Lane.bot_lane,Role.carry
7,simple is best,Orianna,True,Side.red,8,5,11,3.8,296,Ghost,Flash,18,False,17236,15550,Doran's Ring,Rabadon's Deathcap,Abyssal Scepter,Luden's Echo,Morellonomicon,Sorcerer's Shoes,207188,19114,Lane.mid_lane,Role.solo
8,Braums Mustache,Bard,True,Side.red,4,4,14,4.5,39,Flash,Exhaust,16,False,13568,11225,Boots of Mobility,Ruby Sightstone,Frost Queen's Claim,Redemption,Zz'Rot Portal,Kindlegem,24342,8150,Lane.bot_lane,Role.support
9,ShadowofSelf,Shyvana,True,Side.red,7,7,13,2.857142857142857,200,Flash,Smite,18,False,16607,13675,Dead Man's Plate,Mercury's Treads,Frozen Mallet,Giant's Belt,Enchantment: Bloodrazor,Wit's End,109630,106348,Lane.jungle,Role.none
