,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,thecomedownx,Lissandra,False,Side.blue,6,9,7,1.4444444444444444,208,Flash,Ignite,15,False,12959,11495,Zhonya's Hourglass,Hextech Protobelt-01,Rabadon's Deathcap,Sorcerer's Shoes,Doran's Ring,,163171,13086,Lane.mid_lane,Role.solo
1,cùrz,Bard,False,Side.blue,4,5,15,3.8,18,Flash,Ignite,14,False,11867,11700,Eye of the Watchers,Redemption,Locket of the Iron Solari,Zz'Rot Portal,Boots of Mobility,Glacial Shroud,20629,4909,Lane.bot_lane,Role.support
2,KR Hopu ,Graves,False,Side.blue,8,7,13,3.0,230,Smite,Flash,18,False,15792,14725,Enchantment: Warrior,B. F. Sword,Ninja Tabi,Phantom Dancer,Maw of Malmortius,The Black Cleaver,8032,224185,Lane.jungle,Role.none
3,Jordanian Sniper,Jhin,False,Side.blue,4,9,11,1.6666666666666667,200,Flash,Heal,14,False,12930,12275,Youmuu's Ghostblade,Lord Dominik's Regards,Pickaxe,Rapid Firecannon,B. F. Sword,Boots of Swiftness,18503,120807,Lane.bot_lane,Role.carry
4,out skizzled,Riven,False,Side.blue,9,8,8,2.125,295,Flash,Teleport,18,False,15718,15625,Pickaxe,Death's Dance,Ninja Tabi,The Black Cleaver,Guardian Angel,Ravenous Hydra,0,194454,Lane.top_lane,Role.solo
5,Yarkbeezy,Blitzcrank,True,Side.red,3,9,17,2.2222222222222223,14,Exhaust,Flash,15,False,12524,10600,Talisman of Ascension,Ruby Sightstone,Boots of Mobility,Knight's Vow,Frozen Heart,,13591,8871,Lane.bot_lane,Role.none
6, keine Hosen,Jinx,True,Side.red,8,4,14,5.5,321,Flash,Heal,18,False,19109,17050,Runaan's Hurricane,Rapid Firecannon,Mercurial Scimitar,Berserker's Greaves,Lord Dominik's Regards,Infinity Edge,6853,301151,Lane.bot_lane,Role.none
7,Trieuly,Lee Sin,True,Side.red,13,9,11,2.6666666666666665,122,Smite,Flash,17,True,15551,14050,Guardian Angel,Tiamat,Enchantment: Warrior,Mercury's Treads,Dead Man's Plate,The Black Cleaver,19564,106237,Lane.bot_lane,Role.none
8,0 K A Y B O Y S,Rumble,True,Side.red,9,4,12,5.25,260,Flash,Teleport,18,False,16328,13980,Liandry's Torment,Zhonya's Hourglass,Void Staff,Rylai's Crystal Scepter,Sorcerer's Shoes,,173456,15891,Lane.top_lane,Role.solo
9,WJNA,Jayce,True,Side.red,5,5,15,4.0,228,Flash,Cleanse,17,False,15885,14400,Youmuu's Ghostblade,The Black Cleaver,The Bloodthirster,Boots of Swiftness,Lord Dominik's Regards,Cloth Armor,25316,171896,Lane.mid_lane,Role.solo
