,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Snôw,Jinx,False,Side.blue,8,12,16,2.0,236,Heal,Flash,18,False,16822,15650,Berserker's Greaves,Infinity Edge,Quicksilver Sash,Runaan's Hurricane,The Bloodthirster,Lord Dominik's Regards,2049,204359,Lane.bot_lane,Role.carry
1,Winter is back,Lux,False,Side.blue,16,7,23,5.571428571428571,268,Flash,Exhaust,18,False,20119,18450,Rabadon's Deathcap,Morellonomicon,Void Staff,Sorcerer's Shoes,Liandry's Torment,Abyssal Scepter,240533,20411,Lane.mid_lane,Role.solo
2,Little Groot,Ekko,False,Side.blue,11,12,10,1.75,263,Smite,Flash,18,False,18571,17175,Enchantment: Runic Echoes,Morellonomicon,Hextech Gunblade,Sorcerer's Shoes,Lich Bane,Void Staff,236605,50619,Lane.jungle,Role.none
3,Dearest,Sona,False,Side.blue,10,10,21,3.1,48,Ignite,Flash,18,False,16230,13475,Eye of the Watchers,Lich Bane,Morellonomicon,Void Staff,Hextech Revolver,Sorcerer's Shoes,63793,11620,Lane.bot_lane,Role.support
4,Roving,Karthus,False,Side.blue,5,13,11,1.2307692307692308,272,Flash,Exhaust,18,False,16986,14300,Zhonya's Hourglass,Sorcerer's Shoes,Rod of Ages,Rylai's Crystal Scepter,Void Staff,Needlessly Large Rod,213220,10504,Lane.top_lane,Role.solo
5,TwittyParker,Gragas,True,Side.red,6,14,18,1.7142857142857142,73,Exhaust,Flash,17,False,17569,23065,Frost Queen's Claim,Spirit Visage,Redemption,Ruby Sightstone,Mercury's Treads,Guardian Angel,72676,9581,Lane.bot_lane,Role.support
6,icetap,Jhin,True,Side.red,11,13,13,1.8461538461538463,318,Heal,Flash,18,False,20958,21000,Infinity Edge,Essence Reaver,Rapid Firecannon,The Bloodthirster,Lord Dominik's Regards,Berserker's Greaves,27219,291438,Lane.bot_lane,Role.carry
7,Look Val CCnacks,Quinn,True,Side.red,12,10,11,2.3,329,Ignite,Flash,18,False,21544,18450,Mercurial Scimitar,Youmuu's Ghostblade,Edge of Night,Mercury's Treads,Maw of Malmortius,Duskblade of Draktharr,4373,265673,Lane.mid_lane,Role.solo
8,Acez,Yasuo,True,Side.red,9,7,12,3.0,351,Teleport,Flash,18,False,20550,19825,The Bloodthirster,Infinity Edge,Phantom Dancer,Berserker's Greaves,Spirit Visage,Guardian Angel,25441,305859,Lane.top_lane,Role.solo
9,Keemo Anlyst LFT,Lee Sin,True,Side.red,16,6,10,4.333333333333333,180,Smite,Flash,18,True,20594,19050,Mercury's Treads,Zz'Rot Portal,Enchantment: Warrior,Maw of Malmortius,Banshee's Veil,Spirit Visage,55106,168389,Lane.jungle,Role.none
