,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,HannibaI Barca,Jayce,False,Side.blue,1,2,1,1.0,116,Teleport,Flash,10,False,5296,4700,Refillable Potion,The Black Cleaver,Long Sword,Ninja Tabi,,,4295,37524,Lane.top_lane,Role.solo
1,ecco,Thresh,False,Side.blue,1,1,0,1.0,12,Ignite,Flash,6,False,3722,2425,Relic Shield,,,Refillable Potion,Sightstone,Boots of Mobility,2657,2219,Lane.bot_lane,Role.support
2,DoubleSwaggLift,Kha'Zix,False,Side.blue,3,2,1,2.0,53,Smite,Flash,9,True,5227,4725,Mercury's Treads,Refillable Potion,Enchantment: Warrior,Control Ward,Long Sword,Long Sword,1415,45349,Lane.jungle,Role.none
3,Andybendy,Ryze,False,Side.blue,1,4,1,0.5,120,Flash,Ghost,11,False,5717,5585,Doran's Ring,Rod of Ages,Tear of the Goddess,Sorcerer's Shoes,Amplifying Tome,,40005,9256,Lane.mid_lane,Role.solo
4,zMotionz ,Vayne,False,Side.blue,0,2,1,0.5,89,Flash,Heal,8,False,4680,3850,Doran's Blade,Vampiric Scepter,Total Biscuit of Rejuvenation,Zeal,Kircheis Shard,Dagger,0,25052,Lane.bot_lane,Role.carry
5,Carrots2,Yasuo,True,Side.red,0,4,3,0.75,145,Flash,Teleport,11,False,6916,5385,Doran's Blade,,Berserker's Greaves,Ruby Crystal,Phantom Dancer,Doran's Blade,23435,58256,Lane.top_lane,Role.solo
6,is that Rex,Vi,True,Side.red,5,1,2,7.0,91,Smite,Flash,11,False,7634,6100,Enchantment: Cinderhulk,Caulfield's Warhammer,Phage,,Control Ward,Boots of Mobility,9804,71494,Lane.jungle,Role.none
7,bvcx222,Blitzcrank,True,Side.red,1,1,7,8.0,40,Flash,Exhaust,10,False,6062,4825,Sightstone,Total Biscuit of Rejuvenation,Face of the Mountain,Ruby Crystal,,Boots of Mobility,7305,10130,Lane.bot_lane,Role.support
8,Lose,Ezreal,True,Side.red,2,1,3,5.0,143,Flash,Heal,11,False,8113,5525,Manamune,Ionian Boots of Lucidity,,Sheen,Cull,Doran's Blade,7060,58068,Lane.bot_lane,Role.carry
9,PhD Wumbologist,LeBlanc,True,Side.red,3,0,3,6.0,141,Flash,Ignite,12,False,7412,6050,Refillable Potion,Doran's Ring,Morellonomicon,Needlessly Large Rod,Sorcerer's Shoes,,51921,16616,Lane.mid_lane,Role.solo
