,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Tsùki,Karma,False,Side.blue,4,6,5,1.5,30,Flash,Exhaust,12,True,9479,9000,Eye of the Watchers,Control Ward,Redemption,Ionian Boots of Lucidity,Forbidden Idol,Locket of the Iron Solari,37397,5585,Lane.bot_lane,Role.support
1,Kebin M,Riven,False,Side.blue,6,3,2,2.6666666666666665,267,Flash,Teleport,17,False,12843,12095,Ravenous Hydra,Cloth Armor,Youmuu's Ghostblade,Ninja Tabi,The Black Cleaver,Negatron Cloak,0,168928,Lane.top_lane,Role.solo
2,StrobeDarkness,Graves,False,Side.blue,3,5,4,1.4,220,Flash,Smite,16,False,11850,10175,Enchantment: Warrior,Refillable Potion,Berserker's Greaves,Phantom Dancer,Maw of Malmortius,Long Sword,6734,179397,Lane.jungle,Role.none
3,Moosenaski,Ezreal,False,Side.blue,3,7,4,1.0,188,Flash,Heal,13,False,10906,10200,Blade of the Ruined King,,Ionian Boots of Lucidity,Doran's Blade,Iceborn Gauntlet,Muramana,25750,83629,Lane.bot_lane,Role.carry
4,Lokreah,Ziggs,False,Side.blue,2,3,4,2.0,260,Flash,Heal,16,False,11692,10285,Seraph's Embrace,Morellonomicon,Needlessly Large Rod,Sorcerer's Shoes,Blasting Wand,Amplifying Tome,161180,14229,Lane.mid_lane,Role.solo
5,Victim Of Talent,Orianna,True,Side.red,13,1,4,17.0,238,Ignite,Flash,17,False,15053,12200,Doran's Ring,Doran's Ring,Sorcerer's Shoes,Luden's Echo,Morellonomicon,Rabadon's Deathcap,160022,18281,Lane.mid_lane,Role.solo
6,Gorhunter,Bard,True,Side.red,1,8,14,1.875,15,Exhaust,Flash,14,False,9943,8800,Frost Queen's Claim,Redemption,Ruby Sightstone,Aegis of the Legion,Null-Magic Mantle,Boots of Mobility,14825,6333,Lane.bot_lane,Role.support
7,Nero Valentine,Aatrox,True,Side.red,5,3,3,2.6666666666666665,206,Smite,Flash,17,False,12952,12875,Tiamat,Blade of the Ruined King,Dead Man's Plate,Jaurim's Fist,Berserker's Greaves,Enchantment: Bloodrazor,15170,181583,Lane.jungle,Role.none
8,Krypt,Caitlyn,True,Side.red,2,4,6,2.0,236,Flash,Heal,15,False,12586,11580,Vampiric Scepter,Infinity Edge,Runaan's Hurricane,Phantom Dancer,Doran's Blade,Berserker's Greaves,752,180874,Lane.bot_lane,Role.carry
9,Shawner,Gangplank,True,Side.red,3,2,5,4.0,257,Flash,Exhaust,16,False,13651,11733,Trinity Force,Corrupting Potion,Ionian Boots of Lucidity,Sterak's Gage,Infinity Edge,Brawler's Gloves,10824,203470,Lane.top_lane,Role.solo
