,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Słave,Olaf,False,Side.blue,5,5,1,1.2,134,Smite,Ghost,13,False,8204,7275,Dead Man's Plate,Cloth Armor,Refillable Potion,Ionian Boots of Lucidity,Enchantment: Cinderhulk,Ruby Crystal,16014,81462,Lane.jungle,Role.none
1,Bilog,Orianna,False,Side.blue,0,7,6,0.8571428571428571,130,Ghost,Flash,11,False,7044,5910,Doran's Ring,Doran's Ring,Morellonomicon,Sorcerer's Shoes,Health Potion,Amplifying Tome,53197,8455,Lane.mid_lane,Role.solo
2,KayBee,LeBlanc,False,Side.blue,6,6,1,1.1666666666666667,152,Teleport,Flash,13,False,8846,8635,Morellonomicon,Doran's Ring,The Dark Seal,Sorcerer's Shoes,Rylai's Crystal Scepter,Amplifying Tome,65111,9614,Lane.top_lane,Role.solo
3,Liquid fabbbyyy,Vayne,False,Side.blue,3,7,4,1.0,142,Flash,Heal,10,False,7640,6475,Quicksilver Sash,Berserker's Greaves,B. F. Sword,Kircheis Shard,Dagger,Pickaxe,490,52294,Lane.bot_lane,Role.carry
4,Lose is improved,Alistar,False,Side.blue,3,3,7,3.3333333333333335,24,Exhaust,Flash,10,False,6588,5850,Control Ward,Redemption,Ruby Sightstone,Ruby Crystal,Relic Shield,Boots of Mobility,8591,4851,Lane.bot_lane,Role.support
5,Wolfelol,Bard,True,Side.red,2,5,12,2.8,5,Ignite,Flash,11,False,7364,6200,Boots of Mobility,Sightstone,Forbidden Idol,Frost Queen's Claim,Control Ward,Crystalline Bracer,11391,5685,Lane.bot_lane,Role.support
6,Modx,Riven,True,Side.red,11,0,3,14.0,202,Flash,Teleport,15,False,12217,10300,Death's Dance,Tiamat,,Mercury's Treads,Pickaxe,The Black Cleaver,0,121233,Lane.top_lane,Role.solo
7,Eric1,Lee Sin,True,Side.red,7,4,12,4.75,125,Smite,Flash,14,True,11100,9650,Hexdrinker,Enchantment: Warrior,Tiamat,Mercury's Treads,Dead Man's Plate,Cloth Armor,17953,106120,Lane.jungle,Role.none
8,Espir III,Twisted Fate,True,Side.red,5,1,7,12.0,152,Flash,Ghost,14,False,10303,8075,Doran's Ring,Lich Bane,,Boots of Swiftness,,Rod of Ages,87117,13523,Lane.mid_lane,Role.solo
9,Danman96,Twitch,True,Side.red,3,7,9,1.7142857142857142,149,Flash,Heal,12,False,10379,8850,Doran's Blade,Cull,Berserker's Greaves,Control Ward,Infinity Edge,Runaan's Hurricane,0,78024,Lane.bot_lane,Role.carry
