,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,CLG Darshawn,Viktor,False,Side.blue,9,11,7,1.4545454545454546,240,Cleanse,Flash,18,False,16217,14525,Rylai's Crystal Scepter,Abyssal Scepter,Needlessly Large Rod,Void Staff,Ionian Boots of Lucidity,Perfect Hex Core,170822,16822,Lane.mid_lane,Role.solo
1,aphromoo,Nami,False,Side.blue,2,6,28,5.0,14,Heal,Flash,16,False,13250,12625,Eye of the Watchers,Redemption,Randuin's Omen,Glacial Shroud,Boots of Mobility,Banner of Command,12696,8222,Lane.bot_lane,Role.support
2,Falco Mechanic,Lucian,False,Side.blue,12,12,10,1.8333333333333333,274,Exhaust,Flash,18,False,18170,16550,Mercurial Scimitar,Essence Reaver,Berserker's Greaves,Phantom Dancer,Lord Dominik's Regards,Vampiric Scepter,12000,252779,Lane.bot_lane,Role.carry
3,McCashDollar,Shaco,False,Side.blue,16,8,10,3.25,192,Teleport,Ignite,18,False,16552,15778,Zhonya's Hourglass,Hextech Protobelt-01,Duskblade of Draktharr,Trinity Force,Ninja Tabi,Negatron Cloak,92685,57768,Lane.top_lane,Role.solo
4,Virgiñ,Zac,False,Side.blue,6,7,21,3.857142857142857,192,Flash,Smite,18,True,15538,13975,Randuin's Omen,Guardian Angel,Spirit Visage,Ninja Tabi,Enchantment: Cinderhulk,Giant's Belt,160455,23161,Lane.jungle,Role.none
5,ecco,Bard,True,Side.red,0,7,20,2.857142857142857,41,Exhaust,Flash,17,False,11951,11270,Redemption,Locket of the Iron Solari,Control Ward,Frozen Heart,Ruby Sightstone,Boots of Mobility,23971,10678,Lane.bot_lane,Role.support
6,Short Dog,Elise,True,Side.red,11,11,11,2.0,188,Smite,Flash,18,False,16885,15825,Zhonya's Hourglass,Rylai's Crystal Scepter,Void Staff,Abyssal Scepter,Enchantment: Runic Echoes,Ionian Boots of Lucidity,196198,48503,Lane.jungle,Role.none
7,OUT DO YA,Varus,True,Side.red,3,11,11,1.2727272727272727,281,Flash,Heal,17,False,15628,13100,B. F. Sword,Essence Reaver,Infinity Edge,Rapid Firecannon,Doran's Blade,Berserker's Greaves,14064,203447,Lane.bot_lane,Role.carry
8,Prestivent,Twisted Fate,True,Side.red,8,10,11,1.9,271,Flash,Ghost,18,False,18129,14850,Needlessly Large Rod,Lich Bane,Abyssal Scepter,Void Staff,Ionian Boots of Lucidity,Zhonya's Hourglass,204266,20787,Lane.mid_lane,Role.solo
9,Max Waldo,Irelia,True,Side.red,22,6,11,5.5,292,Flash,Teleport,18,False,21012,20783,Randuin's Omen,Titanic Hydra,Mercury's Treads,Spirit Visage,Trinity Force,Dead Man's Plate,10063,205859,Lane.top_lane,Role.solo
