,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,FIoopie,Vayne,False,Side.blue,3,11,8,1.0,191,Flash,Heal,14,False,11404,10900,Infinity Edge,Brawler's Gloves,Berserker's Greaves,Statikk Shiv,Doran's Blade,Rapid Firecannon,14298,96141,Lane.bot_lane,Role.duo
1,RealDarkness,Rek'Sai,False,Side.blue,12,5,7,3.8,167,Smite,Flash,15,False,13719,12350,Dead Man's Plate,Titanic Hydra,Kindlegem,Mercury's Treads,Enchantment: Cinderhulk,Spectre's Cowl,31560,127265,Lane.jungle,Role.none
2,Senses,Leona,False,Side.blue,4,7,16,2.857142857142857,53,Flash,Ignite,14,False,10195,9775,Locket of the Iron Solari,Face of the Mountain,Sightstone,Boots of Mobility,Giant's Belt,Banshee's Veil,12990,9531,Lane.bot_lane,Role.duo
3,Gourish,Fiora,False,Side.blue,7,8,2,1.125,210,Teleport,Flash,15,False,12524,12375,Warden's Mail,The Black Cleaver,Ravenous Hydra,B. F. Sword,Ninja Tabi,Spectre's Cowl,1607,119061,Lane.top_lane,Role.solo
4,Pht,Katarina,False,Side.blue,10,12,6,1.3333333333333333,205,Ignite,Flash,16,False,13448,13200,Rabadon's Deathcap,Hextech Gunblade,Void Staff,Sorcerer's Shoes,Haunting Guise,,132084,15812,Lane.mid_lane,Role.solo
5,Locke Lamora,Thresh,True,Side.red,4,6,28,5.333333333333333,27,Ignite,Flash,15,False,10794,9800,Face of the Mountain,Locket of the Iron Solari,Ruby Sightstone,Mercury's Treads,Knight's Vow,,14257,7733,Lane.bot_lane,Role.support
6,Darvec,Maokai,True,Side.red,7,5,14,4.2,178,Teleport,Flash,16,False,12843,11025,Corrupting Potion,Sunfire Cape,Ionian Boots of Lucidity,Iceborn Gauntlet,Spirit Visage,Ruby Crystal,105428,24547,Lane.top_lane,Role.solo
7,MyTeamSoGOD,Graves,True,Side.red,14,8,9,2.875,185,Smite,Flash,17,False,15700,13400,Enchantment: Warrior,Phantom Dancer,The Bloodthirster,Maw of Malmortius,Boots of Swiftness,,4767,217464,Lane.jungle,Role.none
8,CedR1CK GOD,Twitch,True,Side.red,10,9,10,2.2222222222222223,175,Heal,Flash,15,True,13399,12625,Zeal,Runaan's Hurricane,Blade of the Ruined King,Infinity Edge,Berserker's Greaves,,152,108259,Lane.bot_lane,Role.carry
9,ChallengerNation,Galio,True,Side.red,8,8,24,4.0,188,Ghost,Flash,16,False,13737,12975,Mercury's Treads,Blasting Wand,Needlessly Large Rod,Rod of Ages,Abyssal Scepter,Spirit Visage,122169,15494,Lane.mid_lane,Role.solo
