,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,Hanjaro,Morgana,True,Side.blue,3,5,14,3.4,10,Flash,Exhaust,12,False,8311,7400,Sightstone,Zhonya's Hourglass,Redemption,Ionian Boots of Lucidity,Spellthief's Edge,,16265,2430,Lane.bot_lane,Role.support
1,MangoandPandas,Katarina,True,Side.blue,14,6,6,3.3333333333333335,172,Ignite,Flash,15,False,13302,10750,Sorcerer's Shoes,Hextech Gunblade,Zhonya's Hourglass,The Dark Seal,Needlessly Large Rod,Blasting Wand,110918,15423,Lane.mid_lane,Role.solo
2,66Sah6Agk6Khan66,Shen,True,Side.blue,3,2,14,8.5,167,Flash,Teleport,15,False,10875,9025,Doran's Shield,Locket of the Iron Solari,Warden's Mail,Sunfire Cape,Mercury's Treads,Giant's Belt,61861,36209,Lane.top_lane,Role.solo
3,PerfectKyuubi,Lee Sin,True,Side.blue,7,2,8,7.5,131,Flash,Smite,15,True,11785,11650,Maw of Malmortius,Enchantment: Warrior,Jaurim's Fist,The Black Cleaver,,Mercury's Treads,20486,126815,Lane.jungle,Role.none
4,JusRennier,Caitlyn,True,Side.blue,3,3,8,3.6666666666666665,198,Heal,Flash,14,False,11058,9450,Doran's Blade,Total Biscuit of Rejuvenation,Runaan's Hurricane,Berserker's Greaves,Hexdrinker,Infinity Edge,510,130209,Lane.bot_lane,Role.carry
5,Shuvi,Poppy,False,Side.red,2,8,7,1.125,126,Smite,Flash,13,False,8228,7183,Hunter's Talisman,Refillable Potion,Ninja Tabi,Caulfield's Warhammer,Trinity Force,,5535,85897,Lane.jungle,Role.none
6,Dishonor21,Janna,False,Side.red,1,5,9,2.0,9,Exhaust,Flash,11,False,6712,6525,Talisman of Ascension,Redemption,Sightstone,Control Ward,Boots of Mobility,,4430,2793,Lane.bot_lane,Role.support
7,Tim Allen Talon,Jax,False,Side.red,2,4,3,1.25,168,Flash,Teleport,13,False,8337,7900,Kindlegem,Spectre's Cowl,Hextech Gunblade,Doran's Blade,Doran's Blade,Mercury's Treads,21123,59173,Lane.top_lane,Role.solo
8,OtakuForLife,Jinx,False,Side.red,2,4,6,2.0,198,Heal,Flash,12,False,9320,9125,Doran's Blade,Cull,Berserker's Greaves,Infinity Edge,Runaan's Hurricane,Pickaxe,1069,109391,Lane.bot_lane,Role.carry
9,Hyuun,Fizz,False,Side.red,11,9,6,1.8888888888888888,119,Flash,Ignite,13,False,9810,9225,The Dark Seal,Corrupting Potion,Lich Bane,Abyssal Scepter,Sorcerer's Shoes,Needlessly Large Rod,54613,20298,Lane.mid_lane,Role.solo
