,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,OmniParadise,Soraka,True,Side.blue,2,3,17,6.333333333333333,6,Flash,Exhaust,12,False,8385,6875,Ionian Boots of Lucidity,Redemption,Eye of the Oasis,Forbidden Idol,Aether Wisp,,5557,6058,Lane.bot_lane,Role.support
1,dTian,Malphite,True,Side.blue,3,3,16,6.333333333333333,144,Flash,Teleport,14,False,9735,8700,Iceborn Gauntlet,Rejuvenation Bead,Ninja Tabi,Jaurim's Fist,Sunfire Cape,Corrupting Potion,68570,38882,Lane.top_lane,Role.solo
2,occupiedtoilet,Jhin,True,Side.blue,16,4,6,5.5,162,Flash,Heal,13,False,13583,11750,Doran's Blade,Essence Reaver,Rapid Firecannon,Boots of Swiftness,Infinity Edge,Brawler's Gloves,13273,120011,Lane.bot_lane,Role.carry
3,KitingYeezus,Yasuo,True,Side.blue,5,7,6,1.5714285714285714,145,Flash,Exhaust,13,False,9715,7900,Doran's Blade,Phantom Dancer,Mercury's Treads,Infinity Edge,,,16682,74975,Lane.mid_lane,Role.solo
4,Zach Embrey,Ivern,True,Side.blue,2,3,12,4.666666666666667,57,Smite,Flash,12,False,8091,6925,Redemption,Refillable Potion,Athene's Unholy Grail,Hunter's Talisman,Boots of Swiftness,Kindlegem,6410,5217,Lane.jungle,Role.none
5,Sads,Nasus,False,Side.red,1,5,2,0.6,193,Ghost,Teleport,13,False,9205,9000,Corrupting Potion,Spirit Visage,Iceborn Gauntlet,Ninja Tabi,Bami's Cinder,Chain Vest,19941,77805,Lane.top_lane,Role.solo
6,rate my poo,Blitzcrank,False,Side.red,2,6,8,1.6666666666666667,30,Flash,Ignite,10,False,6982,6600,Face of the Mountain,Sightstone,Righteous Glory,,,Boots of Mobility,8705,9586,Lane.bot_lane,Role.support
7,Fat Potato,Graves,False,Side.red,7,5,5,2.4,105,Flash,Smite,12,False,9387,7800,Control Ward,Refillable Potion,Berserker's Greaves,Phantom Dancer,Enchantment: Warrior,Last Whisper,4507,99669,Lane.jungle,Role.none
8,IS THAT HIM 269,Lucian,False,Side.red,2,6,4,1.0,116,Flash,Heal,10,False,7718,6950,Doran's Blade,Cull,Essence Reaver,Berserker's Greaves,Kircheis Shard,Dagger,1873,59305,Lane.bot_lane,Role.carry
9,JOEMAMAMAD,Ryze,False,Side.red,8,6,7,2.5,140,Flash,Teleport,13,True,9861,8185,Seraph's Embrace,Blasting Wand,Rod of Ages,Ionian Boots of Lucidity,Amplifying Tome,,96946,7113,Lane.mid_lane,Role.solo
